name,phone,phone_clean,email,city,address,rating,reviews,website,source,scraped_at
Exquisite Landscapes LLC,(904) 788-6079,9047886079,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.471777
TNT Landscape Services LLC,(904) 481-9921,9044819921,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.472086
Dunn Deal Investments LLC,(386) 276-5035,3862765035,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.472377
Crud Busters LLC,(904) 518-8402,9045188402,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.472592
K & K Lawn Care & Landscaping LLC,(386) 336-5715,3863365715,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.472880
Pallai Services Inc,(904) 662-7071,9046627071,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.473082
Green Valley Outdoors LLC,(904) 314-2819,9043142819,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.473353
In The Weeds Yard Maintenance LLC,(401) 862-3488,4018623488,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.473626
Bryan'sSod& Landscaping,(904) 708-8417,9047088417,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.473949
"All Of The Above Landscaping, LLC",(904) 589-8486,9045898486,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.474229
Revivifi,(904) 982-6034,9049826034,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.474502
Bryant Landscaping,(904) 520-8389,9045208389,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.474722
Southside Outdoor Services LLC,(904) 629-1167,9046291167,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.475061
Pavers & Pergolas,(904) 442-5888,9044425888,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.475307
Coker Corporation,(904) 518-8705,9045188705,,"St Augustine, FL",,0,0,,bbb,2026-01-03T12:37:12.475576
